"TIPO_EVENTO";"DEPARTAMENTO";"CODIGO_DANE_DEPARTAMENTO";"MUNICIPIO";"CODIGO_DANE_MUNICIPIO";"AÑO";"MES";"EVENTO";"TIPO_LUGAR";"TIPO_AREA";"LATITUD_CABECERA";"LONGITUD_CABECERA";"SITIO";"UBICACION";"uno";"date"
"Desminado militar en operaciones";"PUTUMAYO";86;"MOCOA";86001;2010;7;"Incidente";"Sin informacion";"Rural";1.193611;-76.667778;"La Vereda Mongliart";"POINT (-76.667778 1.193611)";"2010-07-01";40360
"Accidente por MAP";"TOLIMA";73;"PLANADAS";73555;2007;12;"Accidente";"Sin informacion";"Rural";3.054722222;-75.75138889;"Vereda San Miguel";"POINT (-75.75138889 3.054722222)";"2007-12-01";39417
"Incautaciones";"ANTIOQUIA";5;"SEGOVIA";5736;1994;11;"Incidente";"Sin informacion";"Rural";7.080232;-74.698921;"";"POINT (-74.698921 7.080232)";"1994-11-01";34639
"Desminado militar en operaciones";"VAUPES";97;"CARURÚ";97161;2013;8;"Incidente";"Sin informacion";"Rural";1.026388889;-71.30944444;"Area General Caruru";"POINT (-71.30944444 1.026388889)";"2013-08-01";41487
"Desminado militar en operaciones";"CAQUETA";18;"SAN VICENTE DEL CAGUÁN";18753;2016;5;"Incidente";"Sin informacion";"Rural";2.653333333;-74.87666667;"CHORRERAS";"POINT (-74.87666667 2.653333333)";"2016-05-01";42491
"Desminado militar en operaciones";"CESAR";20;"EL COPEY";20238;1992;11;"Incidente";"Sin informacion";"Rural";10.151103;-73.960141;"";"POINT (-73.960141 10.151103)";"1992-11-01";33909
"Desminado militar en operaciones";"TOLIMA";73;"CHAPARRAL";73168;2013;4;"Incidente";"Sin informacion";"Rural";3.660555556;-75.6741667;"Sector Quebrada Negra";"POINT (-75.6741667 3.660555556)";"2013-04-01";41365
"Desminado militar en operaciones";"CAQUETA";18;"PUERTO RICO";18592;2016;6;"Incidente";"Sin informacion";"Rural";2.2875;-75.09611111;"YARUMAL BAJO";"POINT (-75.09611111 2.2875)";"2016-06-01";42522
"Desminado militar en operaciones";"META";50;"URIBE";50370;2011;3;"Incidente";"Sin informacion";"Rural";2.908611;-74.236111;"La Vereda Buenos Aires";"POINT (-74.236111 2.908611)";"2011-03-01";40603
"Desminado militar en operaciones";"META";50;"URIBE";50370;2015;1;"Incidente";"Sin informacion";"Rural";2.775;-74.20083333;"Vereda La Estrella";"POINT (-74.20083333 2.775)";"2015-01-01";42005
"Incautaciones";"SUCRE";70;"COLOSÓ";70204;2000;9;"Incidente";"Sin informacion";"Rural";9.48494;-75.360993;"";"POINT (-75.360993 9.48494)";"2000-09-01";36770
"Desminado militar en operaciones";"PUTUMAYO";86;"PUERTO ASÍS";86568;2012;12;"Incidente";"Sin informacion";"Rural";0.49666667;-76.49611111;"Barrio Villa Paz 1";"POINT (-76.49611111 0.49666667)";"2012-12-01";41244
"Desminado militar en operaciones";"NARIÑO";52;"TUMACO";52835;2019;3;"Incidente";"Sin informacion";"Rural";1.310277778;-78.54027778;"LA GALLETA";"POINT (-78.54027778 1.310277778)";"2019-03-01";43525
"Desminado militar en operaciones";"CAQUETA";18;"CARTAGENA DEL CHAIRÁ";18150;2011;4;"Incidente";"Sin informacion";"Rural";1.391667;-74.973611;"San Jose De Risaralda";"POINT (-74.973611 1.391667)";"2011-04-01";40634
"Desminado militar en operaciones";"NORTE DE SANTANDER";54;"ÁBREGO";54003;2010;8;"Incidente";"Sin informacion";"Rural";8.220833;-72.993056;"Vega Del Tigre";"POINT (-72.993056 8.220833)";"2010-08-01";40391
"Desminado militar en operaciones";"HUILA";41;"COLOMBIA";41206;2009;1;"Incidente";"Sin informacion";"Rural";3.459167;-74.668333;"Vereda San Jerónimo";"POINT (-74.668333 3.459167)";"2009-01-01";39814
"Desminado militar en operaciones";"META";50;"EL DORADO";50270;2009;7;"Incidente";"Sin informacion";"Rural";3.703333;-73.869722;"Vereda San Pedro Alto";"POINT (-73.869722 3.703333)";"2009-07-01";39995
"Desminado militar en operaciones";"CAUCA";19;"CORINTO";19212;2013;4;"Incidente";"Sin informacion";"Rural";3.133333333;-76.2022222;"Vereda Danubio";"POINT (-76.2022222 3.133333333)";"2013-04-01";41365
"Desminado militar en operaciones";"CAQUETA";18;"CARTAGENA DEL CHAIRÁ";18150;2005;12;"Incidente";"Sin informacion";"Rural";0.854722;-74.387222;"";"POINT (-74.387222 0.854722)";"2005-12-01";38687
